code,name,market,종가,등락률,거래대금,시가총액
0220W0,한화머시너리앤서비스홀딩스,KOSPI,6330,0.32,2499000000,534983336550
272110,케이엔제이,KOSDAQ,29450,8.87,2495000000,236347882750
241560,두산밥캣,KOSPI,59000,0.0,2487000000,5655507835000
000100,유한양행,KOSPI,75600,-0.4,2397000000,5565353043600
124500,아이티센글로벌,KOSDAQ,30750,3.71,2385000000,713539205250
377300,카카오페이,KOSPI,40450,0.5,2308000000,5472910159900
079650,서산,KOSDAQ,6130,-3.77,2305000000,122600000000
090710,휴림로봇,KOSDAQ,6420,-0.47,2296000000,767568966180
450080,에코프로머티,KOSPI,34400,-1.43,2292000000,2435997128000
289080,SV인베스트먼트,KOSDAQ,2735,1.3,2277000000,164478067255
002380,KCC,KOSPI,456000,-2.56,2274000000,3918360576000
056080,유진로봇,KOSDAQ,12430,-0.56,2252000000,475267090980
100090,SK오션플랜트,KOSPI,11640,-2.35,2250000000,727245421560
073240,금호타이어,KOSPI,6970,-0.57,2245000000,2002204200390
020000,한섬,KOSPI,18310,4.27,2236000000,393243760140
051900,LG생활건강,KOSPI,298000,0.85,2229000000,4462705854000
069660,KIWOOM 200,KOSPI,111155,1.67,2175000000,794758250000
042510,라온시큐어,KOSDAQ,11550,0.0,2174000000,128272313400
024110,기업은행,KOSPI,20075,0.12,2173000000,16008324320175
101490,에스앤에스텍,KOSDAQ,42400,1.68,2166000000,904598869600
259960,크래프톤,KOSPI,201500,-1.71,2158000000,9218210514500
123330,제닉,KOSDAQ,24000,-4.19,2125000000,191248320000
004710,한솔테크닉스,KOSPI,9900,-0.9,2106000000,525886188300
086960,MDS테크,KOSDAQ,2065,4.4,2086000000,87821703550
323410,카카오뱅크,KOSPI,20300,-0.73,2081000000,9685544871100
098120,마이크로컨텍솔,KOSDAQ,55100,2.99,2072000000,458033406600
004370,농심,KOSPI,396000,1.15,2032000000,2408726232000
005440,현대지에프홀딩스,KOSPI,13190,4.35,2008000000,2419009054810
0155E0,해치텍,KOSDAQ,12090,2.98,1999000000,66339643500
056190,SFA,KOSDAQ,29250,4.46,1994000000,1050331230000
011170,롯데케미칼,KOSPI,63400,0.63,1993000000,2711961564600
117670,알파칩스,KOSDAQ,11890,3.12,1984000000,79208112380
006660,삼성공조,KOSPI,13420,1.98,1979000000,109055133880
166090,하나머티리얼즈,KOSDAQ,56800,1.97,1967000000,1123371883200
295310,에이치브이엠,KOSDAQ,59400,-1.0,1931000000,736830745200
348080,큐라티스,KOSDAQ,4640,2.2,1920000000,59520773920
161390,한국타이어앤테크놀로지,KOSPI,59350,-2.06,1919000000,7351985345150
163730,핑거,KOSDAQ,10960,9.71,1875000000,139912258320
105840,우진,KOSPI,14660,-4.25,1865000000,296097842200
361610,SK아이이테크놀로지,KOSPI,16090,2.35,1863000000,1315954439000
036200,유니셈,KOSDAQ,9440,3.74,1858000000,289470265120
348340,뉴로메카,KOSDAQ,19120,-1.8,1849000000,447569066880
051160,지어소프트,KOSDAQ,12610,4.56,1845000000,195132562300
468530,프로티나,KOSDAQ,38400,9.56,1842000000,426437683200
317400,자이에스앤디,KOSPI,9720,-2.41,1821000000,376966094400
041510,에스엠,KOSDAQ,81900,1.49,1816000000,1875075111000
007810,코리아써키트,KOSPI,52000,-0.95,1812000000,1247096240000
0015B0,KoAct 미국나스닥성장기업액티브,KOSPI,19360,1.44,1787000000,624360000000
263750,펄어비스,KOSDAQ,35000,0.43,1787000000,2199536850000
091580,상신이디피,KOSDAQ,21700,-6.06,1780000000,289222352300
036570,NC,KOSPI,208500,-0.24,1769000000,4491928587000
439960,코스모로보틱스,KOSDAQ,11380,-1.9,1749000000,369288123880
001430,세아베스틸지주,KOSPI,44100,-2.11,1749000000,1581519447900
032940,원익,KOSDAQ,9750,1.46,1741000000,177383514750
230240,에치에프알,KOSDAQ,13360,-2.05,1739000000,177808240000
012210,삼미금속,KOSDAQ,10980,-1.61,1735000000,253106337420
228760,지노믹트리,KOSDAQ,11550,-3.43,1733000000,287123783100
474590,WON 반도체밸류체인액티브,KOSPI,46620,2.17,1724000000,363636000000
028670,팬오션,KOSPI,5740,-0.17,1718000000,3068428998880
175330,JB금융지주,KOSPI,30900,0.16,1716000000,5763524361600
060370,LS마린솔루션,KOSDAQ,32850,-3.38,1710000000,1716046353900
326030,SK바이오팜,KOSPI,77900,0.26,1697000000,6100602175000
001040,CJ,KOSPI,129000,1.18,1671000000,3763832742000
441270,파인엠텍,KOSDAQ,8780,-2.98,1649000000,370559302960
187660,페니트리움바이오,KOSDAQ,6560,0.46,1639000000,419618619680
160980,싸이맥스,KOSDAQ,25800,4.03,1629000000,281845469400
025980,아난티,KOSDAQ,5190,0.39,1619000000,504992138100
047770,코데즈컴바인,KOSDAQ,3785,0.0,1614000000,143234248570
010820,퍼스텍,KOSPI,6270,-1.88,1591000000,305800051260
011200,HMM,KOSPI,20950,0.72,1582000000,19760835471500
368770,파이버프로,KOSDAQ,13320,-5.13,1578000000,437618277000
097950,CJ제일제당,KOSPI,176300,0.97,1568000000,2654052991800
256840,한국비엔씨,KOSDAQ,2870,3.24,1561000000,196293322820
003010,혜인,KOSPI,10200,-3.41,1554000000,129670019400
323280,태성,KOSDAQ,45650,0.44,1554000000,1394058787000
071970,HD현대마린엔진,KOSPI,51000,-2.86,1539000000,1729996245000
005090,SGC에너지,KOSPI,52800,-2.94,1528000000,760812782400
0126Z0,삼성에피스홀딩스,KOSPI,326500,-0.15,1508000000,8124315498500
060250,NHN KCP,KOSDAQ,13310,2.38,1507000000,534537732410
271560,오리온,KOSPI,111900,0.36,1502000000,4423271377200
009420,한올바이오파마,KOSPI,47300,-0.73,1495000000,2470982177400
003280,흥아해운,KOSPI,1786,-0.94,1490000000,429398869614
241710,코스메카코리아,KOSDAQ,130000,-1.07,1485000000,1388400000000
103140,풍산,KOSPI,78400,-1.13,1472000000,2197103395200
263860,지니언스,KOSDAQ,17420,-3.6,1471000000,158166632000
139480,이마트,KOSPI,73100,-1.22,1467000000,2017254368900
477850,마키나락스,KOSDAQ,21100,-0.24,1467000000,374624929600
005940,NH투자증권,KOSPI,25500,-0.2,1463000000,9414755677500
120110,코오롱인더,KOSPI,56200,-1.06,1460000000,1682966998400
489790,한화비전,KOSPI,47300,-1.36,1457000000,2388100847000
204620,글로벌텍스프리,KOSDAQ,5970,1.88,1454000000,419591480100
032580,피델릭스,KOSDAQ,5910,2.25,1450000000,195810498240
089860,롯데렌탈,KOSPI,49800,1.84,1419000000,1808207522400
0163Y0,KoAct 코스닥액티브,KOSPI,9520,1.82,1419000000,475048000000
441800,TIME Korea플러스배당액티브,KOSPI,29090,1.06,1411000000,797647800000
