code,name,종가,등락률,거래대금
247540,에코프로비엠,104100,-2.71,13858000000
036930,주성엔지니어링,196200,1.76,112970000000
277810,레인보우로보틱스,430000,-0.81,12863000000
039030,이오테크닉스,462000,3.47,20603000000
240810,원익IPS,112200,3.51,31175000000
058470,리노공업,64700,0.62,12142000000
222800,심텍,126300,0.64,20700000000
108490,로보티즈,316500,-2.47,56892000000
403870,HPSP,52600,1.35,25769000000
028300,HLB,31600,-2.62,8239000000
095340,ISC,185400,2.09,7228000000
000250,삼천당제약,155200,-1.46,3719000000
031980,피에스케이홀딩스,166100,-0.48,17011000000
319660,피에스케이,121100,2.37,9996000000
214450,파마리서치,329500,-2.23,21127000000
087010,펩트론,145700,-3.38,8831000000
298380,에이비엘바이오,56000,-5.56,29222000000
084370,유진테크,131900,2.33,6995000000
141080,리가켐바이오,81400,-2.75,11271000000
064760,티씨케이,262000,0.96,6439000000
440110,파두,58000,-5.69,14393000000
145020,휴젤,230000,-2.34,2502000000
257720,실리콘투,43550,-0.23,15171000000
131290,티에스이,240000,-0.62,9963000000
310210,보로노이,141600,0.07,7696000000
357780,솔브레인,330000,1.54,2075000000
095610,테스,131300,1.23,9375000000
010170,대한광통신,16250,14.92,514987000000
226950,올릭스,108800,0.46,13435000000
080220,제주반도체,69550,1.09,18101000000
319400,현대무벡스,21200,-1.17,3974000000
178320,서진시스템,35850,0.7,12424000000
067310,하나마이크론,33950,1.19,9791000000
032820,우리기술,12940,-2.04,25933000000
263750,펄어비스,34800,-2.52,4194000000
058610,에스피지,98800,-3.89,25143000000
140410,메지온,71200,-2.6,2007000000
347850,디앤디파마텍,45500,-2.47,8960000000
214150,클래시스,32050,1.42,2253000000
005290,동진쎄미켐,39850,0.38,2517000000
041510,에스엠,87200,-0.34,5962000000
030530,원익홀딩스,25250,0.8,50338000000
083650,비에이치아이,62800,-3.68,13525000000
237690,에스티팜,89100,-0.45,2470000000
098460,고영,26950,-2.0,6501000000
060370,LS마린솔루션,32650,0.62,2833000000
089030,테크윙,45000,2.04,10223000000
437730,삼현,49750,-5.6,24690000000
096530,씨젠,32300,0.16,2129000000
036540,SFA반도체,8860,3.02,50683000000
241710,코스메카코리아,135200,6.79,8200000000
131970,두산테스나,74300,-0.13,9300000000
218410,RFHIC,52100,5.57,40833000000
183300,코미코,26800,3.28,3482000000
323280,태성,44450,0.11,3466000000
950160,코오롱티슈진,15960,-0.81,4292000000
078600,대주전자재료,86200,-0.46,3580000000
043260,성호전자,18320,8.98,72341000000
089970,브이엠,49250,0.72,7752000000
420770,기가비스,99700,1.01,3384000000
082920,비츠로셀,27900,4.49,3383000000
204270,제이앤티씨,21150,-0.7,6996000000
347700,스피어,20300,1.5,7699000000
166090,하나머티리얼즈,51100,-2.67,2401000000
252990,샘씨엔에스,16570,1.59,5260000000
056190,SFA,27400,-4.86,3382000000
232140,와이씨,11710,0.26,5359000000
086450,동국제약,20750,2.22,4138000000
356860,티엘비,37500,0.67,6861000000
100790,미래에셋벤처투자,16400,2.37,2296000000
417200,LS머트리얼즈,12680,3.93,44610000000
014620,성광벤드,32075,-4.54,2993000000
035760,CJ ENM,38500,1.32,2026000000
122870,와이지엔터테인먼트,44750,0.34,2836000000
327260,RF머트리얼즈,45250,0.0,25208000000
445680,큐리옥스바이오시스템즈,47050,-4.18,4105000000
119850,지엔씨에너지,48700,0.52,10494000000
032500,케이엠더블유,18010,12.07,10409000000
090360,로보스타,77200,-2.53,3362000000
044490,태웅,37550,-2.09,3130000000
006730,서부T&D,11630,3.75,4066000000
950260,인제니아테라퓨틱스(Reg.S),15060,-0.59,2879000000
160190,하이젠알앤엠,23850,-4.6,7827000000
090710,휴림로봇,6120,-0.33,2448000000
476830,알지노믹스,25950,-2.81,3195000000
161580,필옵틱스,30900,-0.32,1898000000
251970,펌텍코리아,58200,0.87,2769000000
491000,리브스메드,28550,-6.55,6713000000
053800,안랩,64100,0.79,2612000000
466100,클로봇,22750,-1.3,2847000000
048410,현대바이오,6890,7.32,7751000000
023160,태광,25750,-5.68,3080000000
124500,아이티센글로벌,28700,-5.9,6730000000
295310,에이치브이엠,53400,1.91,3407000000
059090,미코,19620,-0.51,1685000000
033790,피노,7710,1.85,4389000000
064290,인텍플러스,48800,6.43,8082000000
122640,예스티,28400,0.18,2551000000
358570,지아이이노베이션,8940,-2.3,1757000000
456160,지투지바이오,33950,-1.59,3485000000
050890,쏠리드,9130,4.34,42187000000
033640,네패스,23800,-0.42,3916000000
126340,비나텍,73600,12.88,27798000000
060250,NHN KCP,12990,-7.81,6990000000
253590,네오셈,11650,2.01,2534000000
069540,빛과전자,4475,8.62,295508000000
025980,아난티,5140,-0.58,1786000000
019210,와이지-원,13360,5.78,4128000000
376900,로킷헬스케어,28300,-5.35,2289000000
356680,엑스게이트,17080,-2.68,155980000000
187660,페니트리움바이오,7560,-3.08,7332000000
077360,덕산하이메탈,10430,2.46,2805000000
219130,타이거일렉,73300,12.77,7574000000
089890,코세스,27800,9.45,4779000000
056080,유진로봇,11760,-2.89,1563000000
080580,오킨스전자,20750,-3.71,7012000000
348340,뉴로메카,18040,1.01,1842000000
027360,아주IB투자,3470,4.2,3716000000
101730,위메이드맥스,4995,-0.1,2163000000
041190,우리기술투자,5210,-7.13,9077000000
098120,마이크로컨텍솔,49900,-2.16,3965000000
098120,마이크로컨텍솔,49900,-2.16,3965000000
092870,엑시콘,31750,4.1,3463000000
204620,글로벌텍스프리,5830,2.1,4180000000
125490,한라캐스트,11180,-1.24,9414000000
107640,한중엔시에스,43900,4.77,5234000000
332570,PS일렉트로닉스,8620,2.62,48980000000
386380,스카이랩스,20750,-0.24,59032000000
441270,파인엠텍,8910,-3.47,4865000000
477850,마키나락스,21000,-1.41,5150000000
468530,프로티나,32950,15.01,3892000000
439960,코스모로보틱스,11110,-1.77,2368000000
290550,디케이티,17060,-0.76,4532000000
424870,이뮨온시아,3715,5.69,15958000000
170920,엘티씨,32150,-1.08,2690000000
064260,다날,4440,-10.3,8955000000
417840,저스템,14590,1.18,3625000000
033160,엠케이전자,13600,7.09,6639000000
046970,우리로,7390,3.94,52246000000
448900,한국피아이엠,52100,-3.34,2597000000
071200,인피니트헬스케어,12910,-0.31,1803000000
138080,오이솔루션,25300,6.98,17938000000
091580,상신이디피,22900,4.09,5782000000
052710,아모텍,15920,0.06,6219000000
203650,드림시큐리티,2680,-4.29,4368000000
446540,메가터치,9260,6.93,4820000000
389500,에스비비테크,40450,-1.94,2152000000
456010,아이씨티케이,18520,0.33,9786000000
078350,한양디지텍,17570,1.86,2349000000
234340,헥토파이낸셜,18720,-14.91,14716000000
012210,삼미금속,11320,-2.75,5179000000
294570,쿠콘,24850,-14.75,4287000000
024840,KBI메탈,5620,4.85,8852000000
452280,한선엔지니어링,12510,17.03,44923000000
073490,LIG아큐버,31400,6.08,2879000000
064550,바이오니아,9230,-6.39,2619000000
190510,나무가,16490,10.15,5522000000
042370,비츠로테크,8790,3.66,1678000000
354320,알멕,35400,-8.53,2995000000
382900,범한퓨얼셀,25250,0.6,3975000000
199430,케이엔알시스템,19300,-1.38,3380000000
053300,한국정보인증,5350,-2.73,4473000000
024060,흥구석유,14010,-6.48,31482000000
094480,갤럭시아머니트리,5200,-6.98,1855000000
067290,JW신약,3535,-3.94,20543000000
452450,피아이이,5410,7.34,2365000000
032940,원익,10730,10.96,16648000000
256840,한국비엔씨,2825,0.0,1737000000
046120,오르비텍,5630,-1.23,3323000000
126730,코칩,21700,0.7,3537000000
462860,더즌,2630,-16.24,8458000000
088800,에이스테크,2450,29.97,2457000000
475040,스트라드비젼,3430,-1.58,1737000000
263860,지니언스,20300,6.39,26197000000
413630,씨피시스템,4995,11.0,110073000000
0007C0,아크릴,20400,11.17,9813000000
230240,에치에프알,12280,7.62,4468000000
0015N0,아로마티카,12510,-2.8,8539000000
488280,에스투더블유,14510,-5.41,4678000000
340450,지씨지놈,6580,8.58,2761000000
0082N0,카나프테라퓨틱스,11600,-7.13,2887000000
417030,니어스랩,26200,-8.39,6994000000
0039P0,매드업,7950,-3.4,4863000000
950190,고스트스튜디오,11460,19.5,9911000000
388790,라이콤,4855,10.59,20974000000
054920,한컴위드,5140,-1.72,59803000000
053260,금강철강,7740,-0.64,3820000000
158430,아톤,5920,-6.18,40578000000
212560,네오오토,10320,-2.09,1270000000
042510,라온시큐어,12370,-4.55,19167000000
079650,서산,6440,-0.46,4783000000
443670,에스피소프트,5280,3.94,26496000000
201490,미투온,3840,29.95,7406000000
115500,케이씨에스,10330,-2.73,4621000000
387690,레메디,16000,-1.72,4845000000
0011A0,액스비스,12730,4.26,19844000000
351320,넥사다이내믹스,4025,-1.95,1428000000
040300,YTN,2510,-4.74,9939000000
452190,한빛레이저,4985,3.85,5482000000
950250,테라뷰,3255,-3.41,3210000000
198440,강동씨앤엘,1846,1.37,1669000000
039560,다산네트웍스,2575,10.75,2300000000
411080,샌즈랩,7160,3.77,74248000000
072950,빛샘전자,13600,27.1,170184000000
162300,신스틸,2585,-2.64,2386000000
389020,자람테크놀로지,15250,-6.1,2703000000
115440,우리넷,9690,11.25,73936000000
062970,한국첨단소재,3470,3.27,97138000000
014950,삼익제약,10380,-11.21,24426000000
125210,아모그린텍,6200,11.11,14116000000
036220,오상헬스케어,7050,-2.22,1466000000
049080,기가레인,10990,29.91,28438000000
321370,센서뷰,1304,11.17,8351000000
0015S0,페스카로,8810,-4.24,5687000000
439580,블루엠텍,2480,9.25,1446000000
100590,머큐리,4845,7.19,18687000000
357580,아모센스,6640,29.94,4310000000
228340,동양파일,3820,10.4,10606000000
234300,에스트래픽,2775,-13.82,2254000000
066310,큐에스아이,7930,1.54,1417000000
0155E0,해치텍,12280,0.66,2241000000
048770,TPC로보틱스,4250,-4.6,2115000000
065530,와이어블,1316,5.28,1358000000
365660,레몬헬스케어,4605,1.21,2050000000
056360,코위버,5980,4.0,2293000000
232830,아이티센피엔에스,3480,29.85,1285000000
081180,쎄크,5910,12.36,4538000000
