code,거래대금,거래량,종가
251270,40.8,116185,35200
494220,31.3,65490,48180
282330,34.4,23832,145000
024840,31.2,583735,5340
000120,37.7,52401,72200
328130,46.6,550150,8490
020120,30.9,380455,8100
475400,195.0,982894,19730
253590,30.5,263421,11540
002710,190.0,1571234,11800
127120,48.4,152200,31450
014970,29.8,599378,4670
448900,55.0,108415,51100
005950,29.6,258566,11360
279570,29.3,515992,5690
018470,29.0,579069,4655
035510,29.0,179333,16310
005880,28.8,1370663,2090
060250,28.5,196207,14490
358570,39.1,474086,8540
003530,28.0,584124,4785
004490,51.1,82804,61600
214680,27.7,595848,4370
072950,27.7,303676,8900
068760,38.3,97235,39400
018000,26.9,2207883,1235
108860,45.3,512451,8730
336570,26.6,533559,5120
064260,26.5,533697,4980
217590,26.5,242369,10880
484870,55.3,299901,17930
382800,26.3,524110,4960
006280,33.4,25863,128300
035250,32.5,220853,14800
293490,26.2,283887,9230
474590,26.1,59140,44520
024850,26.1,154177,16720
053050,26.1,1237757,1988
462860,26.0,863148,3000
039200,36.9,106475,34900
030520,29.8,172924,17080
306200,32.0,21479,150600
036810,43.0,165760,26350
285130,32.1,59512,54100
493330,25.5,198838,12820
377450,25.4,150184,16950
162300,25.4,906903,2785
388720,64.8,94870,68700
195870,45.2,90584,50100
330860,25.1,107160,23350
452280,25.0,233233,10710
214370,43.0,104551,41700
005070,45.5,113342,40200
0163Y0,24.6,273167,9060
014830,30.3,48323,62900
001120,38.5,94668,40900
035760,32.9,94705,35000
0026S0,24.0,192922,12445
445680,34.1,72342,48000
255220,23.7,1946162,1205
034230,32.8,333567,9930
006730,23.6,211916,11190
027360,23.0,708479,3250
451060,22.9,65468,35130
290550,22.9,145782,15790
426020,22.7,73556,30965
476850,22.3,103527,21840
093320,25.1,18122,138400
383220,26.9,41594,64800
025860,21.9,349657,6160
153890,21.9,212020,10230
457550,21.8,145450,14880
000240,23.8,97443,24500
160190,21.7,103529,20850
038500,21.6,306771,7030
486990,38.1,218203,17210
104830,26.1,82791,31700
464080,21.3,214836,10110
089860,24.8,50798,49300
056080,21.2,174866,12230
001430,31.6,76571,41450
460930,50.0,365096,13720
228340,21.0,540516,3845
396300,21.0,433302,4775
000520,20.9,293528,7200
004990,27.8,111246,25050
134580,20.7,585134,3590
493280,20.7,131263,15900
495060,20.5,72945,28235
160980,20.4,91655,22050
014990,20.3,474490,4155
219130,20.2,30161,68400
225570,28.8,246523,11640
388790,20.1,433166,4470
079900,64.4,157641,41100
171090,27.5,41445,66000
036830,29.0,68513,42150
299660,19.9,809606,2350
0019K0,19.8,152662,13005
452430,33.3,89534,37200
0182S0,19.7,156613,12595
115180,26.3,122365,21800
010820,19.6,320057,6090
033640,44.3,195425,22400
085620,19.4,99400,19840
045390,19.4,565694,3395
229640,34.3,71264,48650
019010,19.2,392974,4980
089890,38.4,147251,26350
000210,24.5,44592,55000
200470,19.1,309613,6180
302430,19.0,226741,8110
159010,19.0,83578,23350
004000,30.2,65466,46150
008350,18.9,1767244,1069
031330,18.9,234910,8120
049080,18.7,221655,8220
003030,21.5,20222,107100
432720,18.6,194029,9570
033100,36.8,79687,46750
065350,40.9,133612,30600
222040,18.3,236688,7490
302440,25.4,67966,37250
304100,42.3,272753,15260
042370,18.1,206222,8740
300080,43.0,447622,9290
455900,25.7,122809,21100
011210,25.1,43967,57400
032500,27.1,175767,15450
003850,29.8,323546,9280
192250,17.8,230518,7800
471040,17.7,63942,27810
052020,17.7,219008,7850
322310,17.6,145231,12300
397030,28.2,165628,17130
060370,31.9,99853,32300
001200,17.3,397019,4355
278280,23.3,60717,38150
236200,27.0,52581,51900
031210,19.2,44484,43450
475430,17.1,405411,4155
018290,25.7,217079,11730
0172V0,17.0,210883,8125
009520,28.4,221397,12880
393890,16.9,170036,10030
463050,16.9,146508,11585
004690,18.3,13361,136900
0009K0,29.7,130841,22650
200710,36.2,150066,23850
330350,16.7,218960,7400
099320,23.8,33912,70300
317330,26.5,207186,12550
321370,16.4,1395741,1161
174900,16.3,80088,20500
059120,16.3,235294,6900
290690,16.3,406145,4065
099440,16.3,377773,4340
085660,22.3,278986,8040
189300,113.0,165578,63400
020000,18.7,122612,15310
389260,16.1,118996,13340
071090,16.0,486573,3265
215600,16.0,711486,2230
0162Y0,15.9,213799,7435
067390,15.9,259882,6300
204620,15.7,289878,5390
001800,27.8,109364,25450
042520,19.4,97881,19730
056190,19.5,78935,24700
112040,22.3,142791,15650
377480,15.5,148994,10160
078150,15.4,759813,2015
032190,26.7,130661,20450
005010,15.4,383827,4000
078350,27.7,157885,17560
365660,15.3,328206,4575
006660,15.2,121441,12420
089010,25.8,113413,22850
950250,15.1,422416,3500
415640,15.1,142915,10600
382840,15.0,280019,5180
002780,15.0,201609,7200
094170,36.6,134988,27400
060570,14.9,305593,5040
306620,14.8,779391,1850
011930,14.8,90772,16180
237880,26.7,213975,12450
122990,14.6,220135,6590
340810,14.5,357941,4135
032350,21.6,178597,12050
069620,21.4,19188,111900
0120G0,27.9,56574,49000
002790,19.3,75440,25800
026960,20.2,78732,25900
003620,14.1,525232,2700
091590,14.1,201083,7000
394420,14.1,143148,9700
013580,14.1,61463,22950
299030,20.4,137094,14520
234690,14.0,147284,9500
037460,14.0,44971,30950
078520,17.1,167275,10100
298050,16.9,9809,172100
009970,15.8,9379,171000
463020,13.8,174369,7900
128820,13.7,312658,4280
389470,19.1,75860,25300
0001A0,13.6,151426,8800
199430,41.0,230377,17760
041960,13.5,143927,9410
065450,13.5,464227,2860
098070,39.5,152504,25400
264850,13.4,230649,5790
079370,13.4,131565,10150
340570,19.9,71198,27800
297090,13.2,285801,4690
439260,22.5,47536,47300
487400,13.1,178359,7170
190510,25.1,167749,14890
355150,12.9,65693,19340
201490,12.9,477538,2740
260970,12.8,23337,55400
290660,12.8,822922,1497
230240,12.6,107787,11600
006120,18.9,32694,57400
016380,12.5,221577,5590
025560,12.4,210238,5950
216080,12.3,184303,6660
272110,12.3,48404,25400
092730,15.7,71799,21600
298000,12.2,21896,55300
272290,18.5,91594,20200
058430,12.2,253173,4865
032580,12.1,239744,5080
015750,18.6,308378,6020
119830,11.9,206471,5850
056360,11.9,214823,5400
000080,15.0,98069,15320
253840,11.9,259976,4530
089590,11.9,250415,4735
058730,11.8,353143,3315
049630,11.8,168483,6990
001680,14.2,75522,18760
003570,13.9,48197,28750
061970,11.7,291786,3975
483350,11.7,392624,2935
307180,11.6,209743,5460
156100,11.6,211231,5450
456040,19.0,23869,80200
011760,14.6,55289,26900
307870,11.4,885673,1317
067920,11.4,205156,5640
003540,14.8,54688,27200
039440,20.4,107115,19120
009450,17.7,29214,60600
041830,16.2,27833,57600
094480,11.2,198395,5650
049070,22.2,119897,18740
025540,13.5,23797,56700
092200,11.0,201535,5410
0111P0,11.0,105123,10460
172670,11.0,95863,11350
013030,15.5,44912,34550
038110,10.9,518992,2040
085910,10.9,81687,13240
012030,10.8,648615,1649
385720,10.8,42460,25550
0005G0,10.8,21043,51935
053300,10.8,208283,5130
017860,10.7,86343,12300
002140,10.7,509862,2070
006040,14.5,38322,38200
368770,10.6,86759,12210
460860,15.2,148192,10320
009240,12.2,31202,39350
478150,10.4,58284,17980
025320,16.4,426463,3850
086900,14.5,21023,69600
298830,10.4,233816,4400
0088M0,10.3,86304,11800
006880,10.3,219381,4570
403850,17.6,141639,12630
014820,12.1,55890,21400
142280,10.2,325123,3105
045100,16.8,56423,29750
282620,10.1,78548,12760
0052S0,10.0,89363,11235
082270,14.4,142135,10280
017940,11.1,11236,99400
